month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price
2000-01,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,13 TO 15,76,Improved,1976,175000
2000-01,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,01 TO 03,74,Improved,1974,155000
2000-01,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,04 TO 06,73,Improved,1974,228000
2000-01,BUKIT TIMAH,4 ROOM,5,TOH YI DR,01 TO 03,104,Model A,1989,352800
2000-01,BUKIT TIMAH,5 ROOM,5,TOH YI DR,04 TO 06,128,Improved,1989,445000
2000-01,BUKIT TIMAH,EXECUTIVE,7,TOH YI DR,10 TO 12,142,Apartment,1989,595000
2000-01,BUKIT TIMAH,EXECUTIVE,10,TOH YI DR,01 TO 03,154,Maisonette,1989,533000
2000-02,BUKIT TIMAH,3 ROOM,4,QUEEN'S RD,04 TO 06,73,Improved,1974,183000
2000-02,BUKIT TIMAH,4 ROOM,4,TOH YI DR,07 TO 09,104,Model A,1988,345000
2000-02,BUKIT TIMAH,4 ROOM,19,TOH YI DR,04 TO 06,84,Simplified,1988,230000
2000-02,BUKIT TIMAH,5 ROOM,1,TOH YI DR,10 TO 12,122,Improved,1988,465000
2000-02,BUKIT TIMAH,5 ROOM,5,TOH YI DR,01 TO 03,122,Improved,1989,445000
2000-02,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,04 TO 06,123,Standard,1974,450000
2000-02,BUKIT TIMAH,EXECUTIVE,3,TOH YI DR,01 TO 03,146,Maisonette,1988,520000
2000-03,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,10 TO 12,65,Improved,1976,180000
2000-03,BUKIT TIMAH,3 ROOM,18,TOH YI DR,01 TO 03,64,Simplified,1989,170000
2000-03,BUKIT TIMAH,4 ROOM,6,FARRER RD,04 TO 06,91,Improved,1974,274800
2000-03,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,04 TO 06,91,Improved,1974,295000
2000-03,BUKIT TIMAH,4 ROOM,13,TOH YI DR,04 TO 06,104,Model A,1988,350000
2000-03,BUKIT TIMAH,4 ROOM,4,TOH YI DR,10 TO 12,104,Model A,1988,370000
2000-03,BUKIT TIMAH,5 ROOM,1,QUEEN'S RD,04 TO 06,125,Standard,1974,448000
2000-04,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,07 TO 09,65,Improved,1976,155000
2000-04,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,10 TO 12,91,Improved,1974,288000
2000-04,BUKIT TIMAH,4 ROOM,3,QUEEN'S RD,07 TO 09,91,Improved,1974,295000
2000-04,BUKIT TIMAH,4 ROOM,4,TOH YI DR,13 TO 15,104,Model A,1988,350000
2000-04,BUKIT TIMAH,4 ROOM,9,TOH YI DR,10 TO 12,104,Model A,1989,360000
2000-04,BUKIT TIMAH,4 ROOM,12,TOH YI DR,07 TO 09,104,Model A,1989,352000
2000-04,BUKIT TIMAH,5 ROOM,13,TOH YI DR,10 TO 12,122,Improved,1988,435000
2000-04,BUKIT TIMAH,5 ROOM,17,TOH YI DR,10 TO 12,127,Improved,1988,493000
